货品编码,货品名称,货物条形码,规格,包装,单价,保质期,品牌,供应商,备注
SPZL0001,娃哈哈桂圆莲子八宝粥,SPZL0001,360g*12,听,3.2,180.0,哇哈哈,永烨副食,
SPZL0002,280ml娃哈哈营养快线(原味),SPZL0002,280ml*20,瓶,2.5,180.0,哇哈哈,永烨副食,
SPZL0003,280ml娃哈哈营养快线(菠萝),SPZL0003,280ml*20,瓶,2.5,180.0,哇哈哈,永烨副食,
SPZL0004,500ml娃哈哈营养快线(原味),SPZL0004,500ml*15,瓶,3.95,180.0,哇哈哈,永烨副食,
SPZL0005,500ml娃哈哈营养快线(菠萝),SPZL0005,500ml*15,瓶,3.9,180.0,哇哈哈,永烨副食,
SPZL0006,490ml康师傅冰红茶,SPZL0006,490ml*15,瓶,2.4,180.0,康师傅,永烨副食,
SPZL0007,500ml康师傅茉莉清茶,SPZL0007,500ml*15,瓶,2.4,180.0,康师傅,永烨副食,
SPZL0008,340ml康师傅冰红茶,SPZL0008,340ml*24,听,2,180.0,康师傅,永烨副食,
SPZL0009,250ml康师傅冰红茶,SPZL0009,250ml*24,盒,1.2,180.0,康师傅,永烨副食,
SPZL0010,250ml康师傅橙汁饮料,SPZL0010,250ml*24,盒,1.2,180.0,康师傅,永烨副食,
SPZL0011,250ml伊利优酸乳（原味）,SPZL0011,250ml*24,盒,1.8,180.0,伊利,永烨副食,
SPZL0012,250ml伊利优酸乳(草莓味),SPZL0012,250ml*24,盒,1.7,180.0,伊利,永烨副食,
SPZL0013,250ml伊利双果奇缘（菠萝+橙味）,SPZL0013,250ml*24,盒,1.7,180.0,伊利,永烨副食,
SPZL0014,250ml伊利果之优酸乳（原味）,SPZL0014,250ml*12,盒,2.8,180.0,伊利,永烨副食,
SPZL0015,250ml伊利果之优酸乳（草莓）,SPZL0015,250ml*12,盒,2.8,180.0,伊利,永烨副食,
SPZL0016,250ml伊利果之优酸乳（菠萝）,SPZL0016,250ml*12,盒,2.8,180.0,伊利,永烨副食,
SPZL0017,250ml伊利早餐奶(核桃),SPZL0017,250ml*24,盒,2.7,180.0,伊利,永烨副食,
SPZL0018,250ml伊利早餐奶(花生味),SPZL0018,250ml*24,盒,2.7,180.0,伊利,永烨副食,
SPZL0019,250ml伊利草莓奶,SPZL0019,250ml*24,盒,2.2,180.0,伊利,永烨副食,
SPZL0020,250ml伊利优酸乳(蓝莓味),SPZL0020,250ml*24,盒,1.7,180.0,伊利,永烨副食,
SPZL0021,250ml伊利双果奇缘(木瓜+杏味),SPZL0021,250ml*24,盒,1.7,180.0,伊利,永烨副食,
SPZL0022,伊利纯牛奶,SPZL0022,250ml*24,盒,2.5,180.0,伊利,永烨副食,
SPZL0023,伊利营养舒化奶（全脂型）,SPZL0023,250ml*12,盒,3.5,180.0,伊利,永烨副食,
SPZL0024,伊利营养舒化奶(低脂),SPZL0024,250ml*12*6,盒,3.8,180.0,伊利,永烨副食,
